,name,city,country,IATA,ICAO,Latitude,Longtitude,Altitude,geometry
0,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.081689834590001,145.391998291,5282,POINT (145.3919982909999931 -6.0816898345900006)
1,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,POINT (145.7890014650000126 -5.2070798873899999)
2,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,POINT (144.2960052490234375 -5.8267898559570312)
3,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,POINT (146.7259770000000003 -6.5698030000000003)
4,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.44338035583496,147.22000122070312,146,POINT (147.2200012207031250 -9.4433803558349592)
5,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,19,POINT (143.6690063480000106 -3.5838301181799999)
6,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,POINT (-45.4259986877000017 61.1604995727999992)
7,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,283,POINT (-51.6781005858999976 64.1909027100000031)
8,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,POINT (-50.7116031647000014 67.0122218992000001)
9,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.7032012939,251,POINT (-68.7032012938999941 76.5311965941999972)
10,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210938,-18.07270050048828,6,POINT (-18.0727005004882812 65.6600036621093750)
11,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.2833023071289,-14.401399612426758,76,POINT (-14.4013996124267578 65.2833023071289062)
12,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,POINT (-15.2271999999999998 64.2956010000000049)
13,Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,POINT (-17.4260009999999994 65.9523010000000056)
14,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.135299682617188,8,POINT (-23.1352996826171875 66.0580978393554688)
15,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357056,171,POINT (-22.6056003570560016 63.9850006103520030)
16,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,POINT (-23.9649999999999999 65.5558010000000024)
17,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,48,POINT (-21.9405994415000016 64.1299972534000062)
18,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,POINT (-18.9166999999999987 66.1333010000000030)
19,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.27890014648437,326,POINT (-20.2789001464843714 63.4243011474609375)
20,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,-84.5093994140625,630,POINT (-84.5093994140625000 46.4850006103515625)
23,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.3918991089,-56.083099365200006,108,POINT (-56.0830993652000060 51.3918991088999988)
24,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,80,POINT (-125.7755829999999975 49.0798330000000007)
25,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56,POINT (-89.8080980000000011 68.5344010000000026)
26,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969482422,-68.20439910888672,71,POINT (-68.2043991088867188 49.1324996948242188)
27,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060073852539,-70.99639892578125,522,POINT (-70.9963989257812500 48.3306007385253906)
28,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889678960001,-96.077796936,59,POINT (-96.0777969359999986 64.2988967896000077)
29,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.950801849365234,-125.27100372314452,346,POINT (-125.2710037231445170 49.9508018493652344)
30,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343,POINT (-99.9518970000000024 49.9099999999999966)
31,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.138000488,90,POINT (-105.1380004880000030 69.1081008910999941)
32,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,POINT (-123.8698625560000011 49.0549702249000035)
33,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.2963981628,-117.632003784,1624,POINT (-117.6320037840000055 49.2963981628000028)
34,Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203,108,POINT (-65.4492029999999971 47.0078010000000006)
35,Charlo Airport,Charlo,Canada,YCL,CYCL,47.990799,-66.330299,132,POINT (-66.3302989999999966 47.9907990000000026)
36,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.816704,-115.143997,74,POINT (-115.1439969999999988 67.8167040000000014)
37,Coronation Airport,Coronation,Canada,YCT,CYCT,52.0750007629,-111.444999695,2595,POINT (-111.4449996950000070 52.0750007628999967)
38,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,-121.939002991,32,POINT (-121.9390029909999953 49.1528015136999983)
39,Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,-68.5167007446,87,POINT (-68.5167007446000014 70.4860992432000018)
40,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,-83.3593978882,210,POINT (-83.3593978881999931 64.1932983397999948)
41,Dawson City Airport,Dawson,Canada,YDA,CYDA,64.04309844970703,-139.1280059814453,1215,POINT (-139.1280059814453125 64.0430984497070312)
42,Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110137939453,-139.04100036621094,2647,POINT (-139.0410003662109375 61.3711013793945312)
44,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.21080017089844,-57.39139938354492,72,POINT (-57.3913993835449219 49.2108001708984375)
45,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,-130.031997681,2600,POINT (-130.0319976810000071 58.4221992493000002)
46,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.10079956054688,-100.052001953125,999,POINT (-100.0520019531250000 51.1007995605468821)
47,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.7422981262207,-120.18299865722656,2148,POINT (-120.1829986572265625 55.7422981262207031)
48,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.3097000122,-113.580001831,2373,POINT (-113.5800018310000041 53.3097000121999969)
49,Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.0942001343,-94.0708007812,32,POINT (-94.0708007812000062 61.0942001343000030)
50,Estevan Airport,Estevan,Canada,YEN,CYEN,49.2103004456,-102.966003418,1905,POINT (-102.9660034179999997 49.2103004455999979)
51,Edson Airport,Edson,Canada,YET,CYET,53.5788993835,-116.464996338,3043,POINT (-116.4649963380000059 53.5788993835000014)
52,Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,-85.814201355,256,POINT (-85.8142013549999945 79.9946975707999997)
53,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419921880001,-133.483001709,224,POINT (-133.4830017090000069 68.3041992188000080)
54,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756402,-68.555801,110,POINT (-68.5558010000000024 63.7564020000000014)
55,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.868900299072266,-66.53720092773438,68,POINT (-66.5372009277343750 45.8689002990722656)
56,Forestville Airport,Forestville,Canada,YFE,CYFE,48.74610137939453,-69.09719848632812,293,POINT (-69.0971984863281250 48.7461013793945312)
57,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.6781005859375,-101.68199920654295,997,POINT (-101.6819992065429545 54.6781005859375000)
58,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,-113.690002441,526,POINT (-113.6900024410000043 61.1808013915999993)
59,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.76020050048828,-121.23699951171876,555,POINT (-121.2369995117187642 61.7602005004882812)
60,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529983520508,-76.5969009399414,305,POINT (-76.5969009399414062 44.2252998352050781)
61,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.625301361083984,-77.7042007446289,639,POINT (-77.7042007446289062 53.6253013610839844)
62,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.7752990723,-64.4785995483,112,POINT (-64.4785995482999965 48.7752990723000011)
63,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.77830123901367,-86.93939971923828,1144,POINT (-86.9393997192382812 49.7783012390136719)
64,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169067383,-61.778099060058594,35,POINT (-61.7780990600585938 47.4247016906738281)
65,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,-102.310997009,1175,POINT (-102.3109970090000047 52.8166999816999976)
66,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.831699,-92.744202,1354,POINT (-92.7442020000000014 49.8316990000000004)
67,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212402344,-117.80599975585938,117,POINT (-117.8059997558593750 70.7628021240234375)
68,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.8497009277,152,POINT (-95.8497009276999989 68.6355972289999983)
69,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.1735992432,-79.93499755859999,780,POINT (-79.9349975585999886 43.1735992432000018)
70,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.5175018311,-73.4169006348,90,POINT (-73.4169006348000011 45.5175018310999988)
71,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131,541,POINT (-115.7829971310000019 60.8396987914999983)
72,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.8807983398,-63.5085983276,477,POINT (-63.5085983275999979 44.8807983398000019)
73,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.7738990784,-91.6386032104,1408,POINT (-91.6386032104000066 48.7738990783999995)
74,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929,181,POINT (-77.9666976928999986 72.6832962035999941)
75,St Jean Airport,St. Jean,Canada,YJN,CYJN,45.29439926147461,-73.28109741210938,136,POINT (-73.2810974121093750 45.2943992614746094)
76,Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.5442008972168,-58.54999923706055,84,POINT (-58.5499992370605469 48.5442008972167969)
77,Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.7022018433,-120.444000244,1133,POINT (-120.4440002439999944 50.7022018433000028)
78,Waterloo Airport,Waterloo,Canada,YKF,CYKF,43.4608001709,-80.3786010742,1055,POINT (-80.3786010742000059 43.4608001709000007)
79,Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.805301666259766,-66.8052978515625,1709,POINT (-66.8052978515625000 54.8053016662597656)
80,Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.5175018311,-109.180999756,2277,POINT (-109.1809997560000056 51.5175018310999988)
81,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.86220169067383,-79.37000274658203,650,POINT (-79.3700027465820312 43.8622016906738281)
82,Chapleau Airport,Chapleau,Canada,YLD,CYLD,47.81999969482422,-83.3467025756836,1470,POINT (-83.3467025756835938 47.8199996948242188)
83,Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,54.125301361083984,-108.52300262451172,1576,POINT (-108.5230026245117188 54.1253013610839844)
84,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.309200286865234,-110.072998046875,2193,POINT (-110.0729980468750000 53.3092002868652344)
85,Alert Airport,Alert,Canada,YLT,CYLT,82.51779937740001,-62.2806015015,100,POINT (-62.2806015015000014 82.5177993774000100)
86,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.9561004639,-119.377998352,1421,POINT (-119.3779983520000059 49.9561004639000004)
87,Mayo Airport,Mayo,Canada,YMA,CYMA,63.61640167236328,-135.8679962158203,1653,POINT (-135.8679962158203125 63.6164016723632812)
88,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,50.330299377441406,-105.55899810791016,1892,POINT (-105.5589981079101562 50.3302993774414062)
89,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.653301239,-111.222000122,1211,POINT (-111.2220001219999972 56.6533012390000010)
90,Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.29109954833984,-80.60780334472656,30,POINT (-80.6078033447265625 51.2910995483398366)
91,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.2728004456,-75.9906005859,656,POINT (-75.9906005858999976 46.2728004455999979)
92,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.679501,-74.038696,270,POINT (-74.0386960000000016 45.6795010000000019)
93,Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.18999862670898,-61.78919982910156,39,POINT (-61.7891998291015625 50.1899986267089773)
94,Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,45.5217018127,-75.5635986328,211,POINT (-75.5635986327999944 45.5217018127000017)
95,Matagami Airport,Matagami,Canada,YNM,CYNM,49.76169967651367,-77.80280303955078,918,POINT (-77.8028030395507812 49.7616996765136719)
96,Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.57060241699219,-139.83900451660156,824,POINT (-139.8390045166015625 67.5706024169921875)
97,CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.40499877929688,-110.27899932861328,1775,POINT (-110.2789993286132812 54.4049987792968821)
98,High Level Airport,High Level,Canada,YOJ,CYOJ,58.62139892578125,-117.16500091552734,1110,POINT (-117.1650009155273438 58.6213989257812500)
99,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.3224983215332,-75.66919708251953,374,POINT (-75.6691970825195312 45.3224983215332031)
100,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.2141990662,-105.672996521,1405,POINT (-105.6729965210000017 53.2141990662000026)
101,Peace River Airport,Peace River,Canada,YPE,CYPE,56.226898,-117.446999,1873,POINT (-117.4469990000000053 56.2268979999999985)
102,Southport Airport,Portage-la-prairie,Canada,YPG,CYPG,49.903099,-98.273817,885,POINT (-98.2738169999999940 49.9030989999999974)
104,Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,51.4463996887207,-90.21420288085938,1267,POINT (-90.2142028808593750 51.4463996887207031)
105,Port Menier Airport,Port Menier,Canada,YPN,CYPN,49.83639907836914,-64.2885971069336,167,POINT (-64.2885971069335938 49.8363990783691406)
106,Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,44.22999954223633,-78.36329650878906,628,POINT (-78.3632965087890625 44.2299995422363281)
107,Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,54.2860984802,-130.445007324,116,POINT (-130.4450073239999881 54.2860984802000033)
108,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,58.7672004699707,-111.11699676513672,761,POINT (-111.1169967651367188 58.7672004699707031)
109,Muskoka Airport,Muskoka,Canada,YQA,CYQA,44.974700927734375,-79.30329895019531,925,POINT (-79.3032989501953125 44.9747009277343750)
110,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,46.7911,-71.393303,244,POINT (-71.3933030000000031 46.7911000000000001)
111,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,52.18220138549805,-113.8939971923828,2968,POINT (-113.8939971923827983 52.1822013854980469)
112,Windsor Airport,Windsor,Canada,YQG,CYQG,42.27560043334961,-82.95559692382812,622,POINT (-82.9555969238281250 42.2756004333496094)
113,Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,60.11640167236328,-128.82200622558594,2255,POINT (-128.8220062255859375 60.1164016723632812)
114,Kenora Airport,Kenora,Canada,YQK,CYQK,49.78829956054688,-94.36309814453124,1332,POINT (-94.3630981445312358 49.7882995605468821)
115,Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,49.6302986145,-112.800003052,3048,POINT (-112.8000030519999939 49.6302986144999991)
116,Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,46.11220169067383,-64.67859649658203,232,POINT (-64.6785964965820312 46.1122016906738281)
117,Comox Airport,Comox,Canada,YQQ,CYQQ,49.71080017089844,-124.88700103759766,84,POINT (-124.8870010375976562 49.7108001708984375)
118,Regina International Airport,Regina,Canada,YQR,CYQR,50.43190002441406,-104.66600036621094,1894,POINT (-104.6660003662109375 50.4319000244140625)
119,Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.37189865112305,-89.32389831542969,653,POINT (-89.3238983154296875 48.3718986511230469)
120,Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,55.1796989441,-118.885002136,2195,POINT (-118.8850021359999971 55.1796989440999965)
121,Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,51.26470184326172,-102.46199798583984,1635,POINT (-102.4619979858398438 51.2647018432617188)
122,North Battleford Airport,North Battleford,Canada,YQW,CYQW,52.76919937133789,-108.24400329589844,1799,POINT (-108.2440032958984375 52.7691993713378906)
123,Gander International Airport,Gander,Canada,YQX,CYQX,48.9369010925293,-54.56809997558594,496,POINT (-54.5680999755859375 48.9369010925292969)
124,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,46.1614,-60.047798,203,POINT (-60.0477980000000002 46.1614000000000004)
125,Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,53.026100158691406,-122.51000213623048,1789,POINT (-122.5100021362304830 53.0261001586914062)
126,Resolute Bay Airport,Resolute,Canada,YRB,CYRB,74.7169036865,-94.9693984985,215,POINT (-94.9693984984999986 74.7169036865000038)
127,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI,47.76440048217773,-69.58470153808594,427,POINT (-69.5847015380859375 47.7644004821777273)
128,Roberval Airport,Roberval,Canada,YRJ,CYRJ,48.52000045776367,-72.2656021118164,586,POINT (-72.2656021118164062 48.5200004577636719)
129,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,52.4296989441,-114.903999329,3244,POINT (-114.9039993290000012 52.4296989440999965)
130,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,62.8114013672,-92.1157989502,94,POINT (-92.1157989502000021 62.8114013671999984)
131,Sudbury Airport,Sudbury,Canada,YSB,CYSB,46.625,-80.79889678955078,1141,POINT (-80.7988967895507812 46.6250000000000000)
132,Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,45.4385986328125,-71.69139862060547,792,POINT (-71.6913986206054688 45.4385986328125000)
133,Saint John Airport,St. John,Canada,YSJ,CYSJ,45.31610107421875,-65.89029693603516,357,POINT (-65.8902969360351562 45.3161010742187500)
134,Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.020301818847656,-111.96199798583984,671,POINT (-111.9619979858398438 60.0203018188476562)
135,Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,72.982201,-84.613602,2106,POINT (-84.6136020000000002 72.9822010000000034)
136,Summerside Airport,Summerside,Canada,YSU,CYSU,46.44060134887695,-63.83359909057617,56,POINT (-63.8335990905761719 46.4406013488769531)
137,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,71.9938964844,-125.242996216,282,POINT (-125.2429962159999945 71.9938964843999969)
138,Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,64.2300033569,-76.5267028809,164,POINT (-76.5267028809000038 64.2300033568999993)
139,Thompson Airport,Thompson,Canada,YTH,CYTH,55.80110168457031,-97.86419677734376,729,POINT (-97.8641967773437642 55.8011016845703125)
140,CFB Trenton,Trenton,Canada,YTR,CYTR,44.118900299072266,-77.5280990600586,283,POINT (-77.5280990600585938 44.1189002990722656)
141,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.5696983337,-81.376701355,967,POINT (-81.3767013549999945 48.5696983337000034)
142,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202,252,POINT (-79.3962020000000024 43.6274990000000003)
143,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,69.43329620361328,-133.0260009765625,15,POINT (-133.0260009765625000 69.4332962036132812)
144,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.4706001282,-73.7407989502,118,POINT (-73.7407989502000021 45.4706001281999974)
145,Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,66.5214004517,-86.22470092770001,80,POINT (-86.2247009277000132 66.5214004517000035)
146,Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,68.77610015869999,-81.2425,30,POINT (-81.2425000000000068 68.7761001586999896)
147,Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,48.20610046386719,-78.83560180664062,988,POINT (-78.8356018066406250 48.2061004638671875)
148,La Ronge Airport,La Ronge,Canada,YVC,CYVC,55.1514015198,-105.262001038,1242,POINT (-105.2620010379999940 55.1514015197999967)
149,Vermilion Airport,Vermillion,Canada,YVG,CYVG,53.3558006287,-110.823997498,2025,POINT (-110.8239974979999971 53.3558006287000026)
150,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,67.5457992554,-64.03140258789999,21,POINT (-64.0314025878999900 67.5457992553999986)
151,Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,48.0532989502,-77.7827987671,1107,POINT (-77.7827987671000045 48.0532989502000021)
152,Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,58.096099853515625,-68.4269027709961,129,POINT (-68.4269027709960938 58.0960998535156250)
153,Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,65.28160095214844,-126.7979965209961,238,POINT (-126.7979965209960938 65.2816009521484375)
154,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901062,-123.183998108,14,POINT (-123.1839981079999973 49.1939010620000019)
155,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,55.8418998718,-108.417999268,1423,POINT (-108.4179992680000026 55.8418998718000026)
156,Wiarton Airport,Wiarton,Canada,YVV,CYVV,44.7458,-81.107201,729,POINT (-81.1072010000000034 44.7458000000000027)
157,Petawawa Airport,Petawawa,Canada,YWA,CYWA,45.95220184326172,-77.31919860839844,427,POINT (-77.3191986083984375 45.9522018432617188)
158,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.9099998474,-97.2398986816,783,POINT (-97.2398986815999962 49.9099998474000017)
159,Wabush Airport,Wabush,Canada,YWK,CYWK,52.92190170288086,-66.8644027709961,1808,POINT (-66.8644027709960938 52.9219017028808594)
160,Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.1831016541,-122.054000854,3085,POINT (-122.0540008539999945 52.1831016540999997)
161,Wrigley Airport,Wrigley,Canada,YWY,CYWY,63.20940017700195,-123.43699645996094,489,POINT (-123.4369964599609375 63.2094001770019531)
162,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,49.610801696777,-115.78199768066,3082,POINT (-115.7819976806599982 49.6108016967770027)
163,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,53.5724983215,-113.521003723,2202,POINT (-113.5210037230000069 53.5724983214999995)
164,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,52.17079925537109,-106.6999969482422,1653,POINT (-106.6999969482422017 52.1707992553710866)
165,Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,50.01890182495117,-110.72100067138672,2352,POINT (-110.7210006713867188 50.0189018249511719)
166,Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,56.23809814453125,-120.73999786376952,2280,POINT (-120.7399978637695170 56.2380981445312500)
167,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,50.11389923095703,-91.9052963256836,1258,POINT (-91.9052963256835938 50.1138992309570312)
168,Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.71360015869999,75,POINT (-65.7136001586999896 66.1449966431000007)
169,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,47.6974006546,-79.8473453522,800,POINT (-79.8473453521999943 47.6974006546000027)
170,Prince George Airport,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854,2267,POINT (-122.6790008539999945 53.8894004822000028)
171,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009,713,POINT (-128.5760089999999991 54.4684979999999968)
172,London Airport,London,Canada,YXU,CYXU,43.035599,-81.1539,912,POINT (-81.1538999999999930 43.0355989999999977)
173,Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.025299072265625,-122.36100006103516,195,POINT (-122.3610000610351562 49.0252990722656250)
174,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.7095985413,-135.067001343,2317,POINT (-135.0670013429999869 60.7095985412999966)
175,North Bay Jack Garland Airport,North Bay,Canada,YYB,CYYB,46.363602,-79.422798,1215,POINT (-79.4227980000000002 46.3636020000000002)
176,Calgary International Airport,Calgary,Canada,YYC,CYYC,51.113899231,-114.019996643,3557,POINT (-114.0199966429999989 51.1138992309999978)
177,Smithers Airport,Smithers,Canada,YYD,CYYD,54.82469940185547,-127.18299865722656,1712,POINT (-127.1829986572265625 54.8246994018554688)
178,Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.597000122,1253,POINT (-122.5970001219999972 58.8363990783999995)
179,Penticton Airport,Penticton,Canada,YYF,CYYF,49.46310043334961,-119.60199737548828,1129,POINT (-119.6019973754882812 49.4631004333496094)
180,Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,46.290000915527344,-63.12110137939453,160,POINT (-63.1211013793945312 46.2900009155273438)
181,Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,69.5466995239,-93.5766983032,92,POINT (-93.5766983032000041 69.5466995239000028)
182,Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502,63,POINT (-123.4260025020000029 48.6469001769999991)
183,Lynn Lake Airport,Lynn Lake,Canada,YYL,CYYL,56.86389923095703,-101.07599639892578,1170,POINT (-101.0759963989257812 56.8638992309570312)
184,Swift Current Airport,Swift Current,Canada,YYN,CYYN,50.2919006348,-107.691001892,2680,POINT (-107.6910018920000027 50.2919006348000011)
185,Churchill Airport,Churchill,Canada,YYQ,CYYQ,58.739200592041016,-94.06500244140624,94,POINT (-94.0650024414062358 58.7392005920410156)
186,Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.4258003235,160,POINT (-60.4258003234999990 53.3191986084000007)
187,St. John's International Airport,St. John's,Canada,YYT,CYYT,47.618598938,-52.7518997192,461,POINT (-52.7518997191999972 47.6185989379999981)
188,Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.41389846801758,-82.46749877929688,743,POINT (-82.4674987792968750 49.4138984680175781)
189,Armstrong Airport,Armstrong,Canada,YYW,CYYW,50.29029846191406,-88.90969848632812,1058,POINT (-88.9096984863281250 50.2902984619140625)
