,name,city,country,IATA,ICAO,Latitude,Longtitude,Altitude,geometry
6846,Galesburg Municipal Airport,Galesburg,United States,GBG,KGBG,40.9379997253,-90.431098938,764,POINT (-90.4310989380000052 40.9379997253000028)
6847,Guymon Municipal Airport,Guymon,United States,GUY,KGUY,36.6851005554,-101.508003235,3123,POINT (-101.5080032350000039 36.6851005553999983)
6852,Independence Municipal Airport,Independence,United States,IDP,KIDP,37.1584014893,-95.7783966064,825,POINT (-95.7783966063999941 37.1584014892999974)
6856,Bay City Municipal Airport,Bay City,United States,BBC,KBYY,28.9733009338,-95.8635025024,45,POINT (-95.8635025023999958 28.9733009338000009)
6857,Cox Field,Paris,United States,PRX,KPRX,33.636600494385,-95.450798034668,547,POINT (-95.4507980346679972 33.6366004943850001)
6858,Coffeyville Municipal Airport,Coffeyville,United States,CFV,KCFV,37.09400177,-95.5718994141,754,POINT (-95.5718994141000024 37.0940017699999984)
6860,Greeley–Weld County Airport,Greeley,United States,GXY,KGXY,40.4374008179,-104.633003235,4697,POINT (-104.6330032350000039 40.4374008178999986)
6862,Oryol Yuzhny Airport,Oakley,United States,OEL,UUOR,52.9347000122,36.0022010803,656,POINT (36.0022010802999972 52.9347000121999969)
6863,Fremont Municipal Airport,Fremont,United States,FET,KFET,41.44910049,-96.52020264,1204,POINT (-96.5202026399999937 41.4491004899999993)
6864,La Grande/Union County Airport,La Grande,United States,LGD,KLGD,45.2901992798,-118.007003784,2717,POINT (-118.0070037840000055 45.2901992797999995)
6865,Olsztyn-Mazury Airport,Szczytno-Szymany,Poland,SZY,EPSY,53.481899,20.9377,463,POINT (20.9376999999999995 53.4818989999999985)
6866,Pocono Mountains Municipal Airport,Mount Pocono,United States,MPO,KMPO,41.137503,-75.378897,1915,POINT (-75.3788969999999949 41.1375030000000024)
6867,Quakertown Airport,Quakertown,United States,UKT,KUKT,40.435199737549,-75.381896972656,526,POINT (-75.3818969726559942 40.4351997375489987)
6868,Banff Airport,Banff,Canada,YBA,CYBA,51.2073404699,-115.541861057,4583,POINT (-115.5418610570000055 51.2073404698999965)
6870,Banning Municipal Airport,Banning,United States,BNG,KBNG,33.9230995178,-116.850997925,2219,POINT (-116.8509979250000015 33.9230995177999972)
6873,Karl Stefan Memorial Airport,Norfolk  Nebraska,United States,OFK,KOFK,41.985500335693,-97.435096740723,1573,POINT (-97.4350967407229973 41.9855003356929970)
6880,Juscelino Kubitscheck Airport,Teofilo Otoni,Brazil,TFL,SNTO,-17.89229965209961,-41.51359939575195,1572,POINT (-41.5135993957519531 -17.8922996520996094)
6882,Peter O Knight Airport,Tampa,United States,TPF,KTPF,27.915599822998,-82.44930267334,8,POINT (-82.4493026733400001 27.9155998229980007)
6885,Umberto Modiano Airport,Buzios,Brazil,BZC,SBBZ,-22.770999908447266,-41.96289825439453,10,POINT (-41.9628982543945312 -22.7709999084472656)
6887,Itaperuna Airport,Itaperuna,Brazil,ITP,SDUN,-21.2192993164,-41.8759002686,410,POINT (-41.8759002685999988 -21.2192993164000008)
6889,Resende Airport,Resende,Brazil,REZ,SDRS,-22.4785003662,-44.4803009033,1320,POINT (-44.4803009032999981 -22.4785003661999987)
6893,Tunta Airport,Kabinda,Congo (Kinshasa),KBN,FZWT,-6.132999897,24.4829998016,2766,POINT (24.4829998015999983 -6.1329998970000004)
6894,Ikela Airport,Ikela,Congo (Kinshasa),IKL,FZGV,-1.048109,23.372501,1283,POINT (23.3725009999999997 -1.0481090000000000)
6895,Aripuanã Airport,Aripuana,Brazil,AIR,SWRP,-10.188278,-59.457273,623,POINT (-59.4572730000000007 -10.1882780000000004)
6896,Juruena Airport,Juruena,Brazil,JRN,SWJU,-10.305832862854004,-58.489444732666016,525,POINT (-58.4894447326660156 -10.3058328628540039)
6897,Juína Airport,Juina,Brazil,JIA,SWJN,-11.419444,-58.701668,1083,POINT (-58.7016679999999980 -11.4194440000000004)
